,0
313,pst:PSPTO_3164
314,pst:PSPTO_2940
315,pst:PSPTO_4408
316,pst:PSPTO_1835
317,pst:PSPTO_1713
318,pst:PSPTO_3829
319,pst:PSPTO_4547
320,pst:PSPTO_5476
321,pst:PSPTO_4411
322,pst:PSPTO_0698
323,pst:PSPTO_1540
324,pst:PSPTO_1993
325,pst:PSPTO_2944
326,pst:PSPTO_2300
327,pst:PSPTO_1930
328,pst:SPONTANEOUS
329,pst:PSPTO_2046
330,pst:PSPTO_2045
331,pst:PSPTO_2912
332,pst:PSPTO_2914
333,pst:PSPTO_2913
334,pst:PSPTO_2915
335,pst:PSPTO_5265
336,pst:PSPTO_5266
337,pst:PSPTO_0308
338,pst:PSPTO_0310
339,pst:PSPTO_3009
340,pst:PSPTO_1294
341,pst:PSPTO_1293
342,pst:PSPTO_1295
343,pst:PSPTO_4110
344,pst:PSPTO_4919
345,pst:PSPTO_4915
346,pst:PSPTO_4917
347,pst:PSPTO_4112
348,pst:PSPTO_4916
349,pst:PSPTO_4108
350,pst:PSPTO_4918
351,pst:PSPTO_4109
352,pst:PSPTO_5307
353,pst:PSPTO_3880
354,pst:PSPTO_3881
355,pst:PSPTO_5302
356,pst:PSPTO_5360
357,pst:PSPTO_5357
358,pst:PSPTO_5359
359,pst:PSPTO_5358
360,pst:PSPTO_2367
361,pst:PSPTO_2368
362,pst:PSPTO_2369
363,pst:PSPTO_4111
364,pst:PSPTO_5321
365,pst:PSPTO_5319
366,pst:PSPTO_5320
367,pst:PSPTO_5262
368,pst:PSPTO_5187
369,pst:PSPTO_5261
370,pst:PSPTO_5189
371,pst:PSPTO_5260
372,pst:PSPTO_5188
373,pst:PSPTO_5023
374,pst:PSPTO_1852
375,pst:PSPTO_0676
376,pst:PSPTO_0366
377,pst:PSPTO_5016
378,pst:PSPTO_1671
379,pst:PSPTO_1661
380,pst:PSPTO_2206
381,pst:PSPTO_1148
382,pst:PSPTO_4908
383,pst:PSPTO_1434
384,pst:PSPTO_1760
385,pst:PSPTO_3702
386,pst:PSPTO_4312
387,pst:PSPTO_3721
388,pst:PSPTO_3832
389,pst:PSPTO_3830
390,pst:PSPTO_3833
391,pst:PSPTO_2100
392,pst:PSTPO_3833
393,pst:PSPTO_0218
394,pst:PSPTO_2786
395,pst:PSPTO_2788
396,pst:PSTPO_5279
397,pst:PSPTO_0750
398,pst:PSPTO_5279
399,pst:PSPTO_4564
400,pst:PSPTO_2572
401,pst:PSPTO_4562
402,pst:PSPTO_4563
403,pst:PSPTO_2026
404,pst:PSPTO_5314
405,pst:PSPTO_1207
406,pst:PSPTO_0956
407,pst:PSPTO_1682
408,pst:PSPTO_5356
409,pst:PSPTO_2345
410,pst:PSPTO_4167
411,pst:PSPTO_5316
412,pst:PSPTO_5315
413,pst:PSPTO_2787
414,pst:PSPTO_4063
