ids,0,1,2,3,4,5,6,7,8,9
frozenset({'223283.9.peg.633'}),-9.068581423078825e-14,0.0,-4.458151562548673e-15,-5.880605828327743e-14,-1.21183750188083e-14,-3.842939350770288e-14,1.233743096078156e-13,8.862439433110559e-14,-6.992610291371586e-13,
frozenset({'223283.9.peg.634'}),-1.555169900942052e-12,5.664197335627593e-15,-6.399268774101196e-14,-2.644955542509828e-13,1.086015714142076e-14,-3.022113943967592e-14,5.108864014527239e-13,-6.626697134346644e-14,-7.236590677824029e-14,0.0
frozenset({'223283.9.peg.635'}),-4.048925040778185e-14,0.0,5.72148988717093e-14,-1.191601249011849e-13,1.716539313699425e-13,-5.415620067682192e-13,2.744170361370686e-13,-9.228281165468904e-14,-1.062370149799798e-13,3.576415583197739e-14
frozenset({'223283.9.peg.636'}),-5.990089434203411e-14,1.626053571439625e-14,0.0,-3.296759594133312e-14,1.715522192400006e-13,4.078463949230095e-13,2.773214037529818e-13,9.278676499041651e-14,-4.364600906646894e-14,6.860988447481116e-14
frozenset({'223283.9.peg.637'}),-1.224020483970492e-13,-1.53859897749592e-15,-2.874466722310868e-14,-2.483730808102781e-14,3.2874271166104e-13,1.300689121415112e-13,6.952505896140575e-14,-9.690759513696272e-14,3.486709147262399e-13,0.0
frozenset({'223283.9.peg.638'}),6.289587592111463e-13,9.987154192018694e-14,1.827819260091038e-13,-1.855175722002768e-13,0.0,-9.477621569130921e-14,-1.314761503770393e-14,-7.220413292732698e-14,1.947744019853931e-13,
frozenset({'223283.9.peg.639'}),7.314600460576445e-13,0.0,-9.021580031531622e-14,-1.057240766505265e-13,-2.166561777853112e-14,6.061666741251697e-14,3.796330843105494e-13,-1.332819180286032e-13,-8.699509323483258e-15,7.191605348672529e-14
frozenset({'223283.9.peg.640'}),-1.962374472049243e-13,1.687659729691684e-13,-2.579926941501216e-15,9.096841740125027e-14,1.401728792330668e-14,1.721950515021704e-13,8.405400298910133e-13,2.185014385131333e-14,-2.269136818928681e-14,-1.33970315318159e-12
frozenset({'223283.9.peg.641'}),1.039066213819966e-14,7.289015713952871e-14,2.451168606781046e-14,2.159353373312823e-13,9.290244408252888e-13,6.065660513108633e-14,3.43745941949795e-13,9.502558798450498e-14,4.948210872190899e-13,9.361563378742802e-14
frozenset({'223283.9.peg.642'}),-9.358050536006334e-13,1.661683206236926e-12,-4.741621277735192e-14,-7.342018567329197e-15,2.015835079520854e-13,-3.393257665898929e-14,-6.933678927341594e-13,8.220877605392514e-15,2.031627028834278e-14,3.153552831698809e-14
frozenset({'223283.9.peg.643'}),-7.095478741836732e-13,-8.481600385229613e-16,-1.909104531014297e-13,1.025486670360806e-14,2.278662109632796e-14,1.527573233840581e-12,1.490205820316872e-13,0.0,2.180667522282582e-13,-1.879796286401725e-13
frozenset({'223283.9.peg.644'}),-1.888019294946923e-13,-4.375243299894029e-14,-9.499735290504098e-14,5.554777700366883e-14,7.773948486772902e-14,-1.203100800954983e-12,-9.536142188554326e-15,-3.416600141772735e-14,-5.333989463296237e-14,1.194862313649224e-13
frozenset({'223283.9.peg.645'}),-1.836674718598243e-13,0.0,-4.458151562548673e-15,-5.880605828327743e-14,-1.21183750188083e-14,-3.842939350770288e-14,2.334083524363071e-13,-5.317463659866335e-14,-6.992610291371586e-13,
frozenset({'223283.9.peg.646'}),-1.534801344043834e-10,4.23396885942467e-14,-3.052158667415904e-14,4.478701369033259e-14,-1.311822105933037e-13,8.364816198015698e-14,3.82830472800269e-13,3.836867559653816e-14,-2.494732623349282e-14,-1.756574044688805e-14
frozenset({'223283.9.peg.647'}),6.305307324091789e-13,5.231878290161418e-13,-1.625379075268145e-13,-8.891046564488912e-14,4.188124964743674e-30,-6.886113358250066e-13,-4.104989961093951e-14,1.42500360112334e-12,-1.345210130705159e-13,4.343941084345928e-14
frozenset({'223283.9.peg.648'}),2.221671287060075e-13,2.164659879258318e-14,-2.022414160138715e-13,5.951313394486724e-14,2.713910459529854e-14,-3.022113943967592e-14,5.108864014527239e-13,-3.81674259732657e-13,-2.730989997516838e-14,0.0
frozenset({'223283.9.peg.649'}),6.629988887748878e-13,-5.282415809868335e-14,-9.676918568752598e-14,-3.048916758701032e-14,0.0,-3.412954634524086e-13,1.214651987339154e-14,-9.277949840056866e-14,,
frozenset({'223283.9.peg.650'}),-2.203525139175665e-13,4.024606618060751e-14,1.164357473539574e-13,-2.711619565914303e-13,-6.589457010263666e-14,4.242420061123417e-14,1.046997227270074e-13,-1.662256834353119e-13,7.739151410491699e-14,-2.038818862011671e-15
frozenset({'223283.9.peg.651'}),-6.226608774455978e-14,4.860696775851563e-14,5.16542487573845e-14,-2.162561707209081e-13,3.492960883174609e-13,1.011917819509014e-13,-9.792852557648336e-14,-4.434648393997859e-14,-6.0559345422739e-14,-3.413095764119245e-13
frozenset({'223283.9.peg.653'}),1.443465604412261e-14,-4.063423368551271e-14,-2.003790249200314e-14,5.961600562470559e-14,5.683899283359992e-14,3.644608597229657e-13,-4.8827281265969e-14,-5.939383726764027e-14,6.300428711313964e-14,-6.798212594619518e-13
frozenset({'223283.9.peg.654'}),-6.121236587952368e-14,0.0,2.088977164092527e-14,2.124726500444584e-13,2.183545806052893e-13,5.830119734210631e-14,1.106135884574421e-13,1.699344798162124e-14,-5.196991755356891e-16,3.498835342978845e-14
