ids,0,1,2,3,4,5,6,7,8,9
frozenset({'223283.9.peg.3813'}),-2.456153536514323e-14,1.396878115183014e-13,-4.142001006175136e-14,6.226956639882958e-14,-1.998508577621517e-14,-1.035655075430867e-13,-9.497195962645458e-14,-9.702312227175958e-14,0.0,-3.703269115009088e-14
frozenset({'223283.9.peg.3834'}),1.201379499964588e-14,-3.458996410392489e-14,-3.42246672752894e-14,-1.287500722325661e-14,5.013484911764541e-14,-7.765876390953738e-15,7.966787133183062e-13,8.397611931850646e-14,-3.753570991274569e-15,-6.905933070025465e-14
frozenset({'223283.9.peg.3923'}),8.854806569433997e-12,-1.720277582125289e-13,6.730222509998191e-15,-1.062887111690785e-14,-9.528008163933269e-14,-1.468772176576537e-12,1.75078384209225e-13,6.397470453252032e-14,-2.660246322724974e-14,-6.018441400689284e-14
frozenset({'223283.9.peg.3927'}),9.885623003568175e-14,-9.54066971419709e-16,4.22372204682119e-14,-6.73147506090542e-15,9.120099365564103e-14,-4.0668317535345e-14,8.921927878086977e-14,1.519211391430308e-13,-8.280539623930626e-14,1.695863781421193e-15
frozenset({'223283.9.peg.3932'}),7.709564223912476e-14,0.0,1.007987656980388e-13,-1.736823590426204e-14,-2.005393964705816e-14,1.34980466604273e-13,4.446542648072114e-14,-5.205168981875876e-15,2.721691810042231e-14,1.255624194550084e-14
frozenset({'223283.9.peg.4'}),0.0,-1.155115812817141e-16,1.280633604206868e-14,-1.305711084885953e-15,-1.913231443171769e-14,-2.050113498522232e-13,-4.076061470621216e-14,4.361890345114026e-13,4.046446337994624e-14,
frozenset({'223283.9.peg.4081'}),-2.985370851798693e-14,0.0,-2.859510400501395e-14,-6.071199107937202e-15,-1.599415554750343e-13,3.904274102308826e-14,1.222396282249532e-13,-1.316275699157956e-13,-7.165775630338547e-14,
frozenset({'223283.9.peg.4257'}),-2.593648949140063e-15,-2.04673520240104e-13,-1.066160612187014e-13,1.17453856348234e-14,-3.929023702152342e-14,3.087505802602392e-12,-4.486316404118466e-14,5.051853377418541e-14,7.857365801654322e-15,-8.533022622376714e-15
frozenset({'223283.9.peg.4293'}),17.38718397160045,9.440546263419808,51.25545759543616,0.371834901063941,32.501810877134,56.75107627357364,105.2021925767607,79.3244268829628,63.20928391606717,46.63725098607605
frozenset({'223283.9.peg.4324'}),1.694836654203904e-13,-7.44286050583268e-15,-1.055430665494534e-13,6.428181946857093e-14,-5.552076483399123e-14,1.74755456665846e-14,1.697365913246877e-12,0.0,5.315099773517091e-14,-2.165895588155645e-13
