ids,growth,status
frozenset({'PSPTO_3463'}),118.5244809494638,optimal
frozenset({'PSPTO_3376'}),118.5244809494638,optimal
frozenset({'PSPTO_1859'}),118.5244809494638,optimal
frozenset({'PSPTO_4891'}),118.5244809494638,optimal
frozenset({'PSPTO_1459'}),-1.7118833315715732e-12,optimal
frozenset({'PSPTO_1539'}),118.52448094946429,optimal
frozenset({'PSPTO_4686'}),118.52448094946429,optimal
frozenset({'PSPTO_3503'}),118.52448094946429,optimal
frozenset({'PSPTO_0744'}),118.52448094946429,optimal
frozenset({'PSPTO_4866'}),1.2955121512559776e-11,optimal
frozenset({'PSPTO_4945'}),118.5244809494633,optimal
frozenset({'PSPTO_2950'}),118.5244809494633,optimal
frozenset({'PSPTO_2046'}),118.5244809494633,optimal
frozenset({'PSPTO_2786'}),118.5244809494633,optimal
frozenset({'PSPTO_3721'}),-2.5253203553645098e-14,optimal
frozenset({'PSPTO_0310'}),-2.5253203553645098e-14,optimal
frozenset({'PSPTO_1713'}),118.52448094946404,optimal
frozenset({'PSPTO_4825'}),118.52448094946404,optimal
frozenset({'PSPTO_0604'}),118.52448094946404,optimal
frozenset({'PSPTO_0458'}),118.52448094946404,optimal
frozenset({'PSPTO_1196'}),118.52448094946404,optimal
frozenset({'PSPTO_5393'}),118.52448094946404,optimal
frozenset({'PSPTO_5307'}),118.52448094946404,optimal
frozenset({'PSPTO_2339'}),118.52448094946404,optimal
frozenset({'PSPTO_5178'}),118.52448094946404,optimal
frozenset({'PSPTO_4683'}),118.52448094946404,optimal
frozenset({'PSPTO_4397'}),2.054529111346897e-14,optimal
frozenset({'PSPTO_1455'}),118.52448094946425,optimal
frozenset({'PSPTO_1756'}),118.52448094946425,optimal
frozenset({'PSPTO_5118'}),-1.8546298630845835e-13,optimal
frozenset({'PSPTO_2401'}),118.52448094946377,optimal
frozenset({'PSPTO_4680'}),118.52448094946377,optimal
frozenset({'PSPTO_4144'}),118.52448094946377,optimal
frozenset({'PSPTO_0727'}),118.52448094946377,optimal
frozenset({'PSPTO_2913'}),118.52448094946377,optimal
frozenset({'PSPTO_4439'}),118.52448094946377,optimal
frozenset({'PSPTO_3733'}),118.52448094946377,optimal
frozenset({'PSPTO_3371'}),118.52448094946598,optimal
frozenset({'PSPTO_5475'}),118.52448094946598,optimal
frozenset({'PSPTO_4170'}),118.52448094946598,optimal
frozenset({'PSPTO_0549'}),118.52448094946598,optimal
frozenset({'PSPTO_5357'}),118.51261843050143,optimal
frozenset({'PSPTO_3517'}),-1.0459265665348013e-14,optimal
frozenset({'PSPTO_4501'}),118.5244809494605,optimal
frozenset({'PSPTO_1182'}),118.5244809494605,optimal
frozenset({'PSPTO_4563'}),118.50795350934062,optimal
frozenset({'PSPTO_2210'}),3.455317045880573e-14,optimal
frozenset({'PSPTO_4921'}),118.52448094946429,optimal
frozenset({'PSPTO_1675'}),-1.0791377824147359e-13,optimal
frozenset({'PSPTO_0962'}),118.52448094946328,optimal
frozenset({'PSPTO_5274'}),118.52448094946328,optimal
frozenset({'PSPTO_3022'}),4.6743007592691544e-14,optimal
frozenset({'PSPTO_4828'}),-2.8045804555614926e-14,optimal
frozenset({'PSPTO_4432'}),118.52448094946404,optimal
frozenset({'PSPTO_0676'}),118.52448094946404,optimal
frozenset({'PSPTO_0750'}),118.52448094946404,optimal
frozenset({'PSPTO_0170'}),-6.374459681208449e-15,optimal
frozenset({'PSPTO_0800'}),118.52448094946348,optimal
frozenset({'PSPTO_2035'}),118.52448094946348,optimal
frozenset({'PSPTO_0338'}),118.52448094946348,optimal
frozenset({'PSPTO_1207'}),118.52448094946348,optimal
frozenset({'PSPTO_2106'}),118.52448094946342,optimal
frozenset({'PSPTO_5320'}),118.52448094946342,optimal
frozenset({'PSPTO_4110'}),118.52448094946342,optimal
frozenset({'PSPTO_0698'}),-7.009012175123661e-14,optimal
frozenset({'PSPTO_0886'}),118.52448094946418,optimal
frozenset({'PSPTO_1449'}),0.0,optimal
frozenset({'PSPTO_1520'}),118.52448094946801,optimal
frozenset({'PSPTO_2163'}),-2.2416352306505e-14,optimal
frozenset({'PSPTO_3662'}),118.52448094946416,optimal
frozenset({'PSPTO_0092'}),118.52448094946416,optimal
frozenset({'PSPTO_0701'}),118.52448094946416,optimal
frozenset({'PSPTO_2761'}),118.52448094946416,optimal
frozenset({'PSPTO_2788'}),118.52448094946416,optimal
frozenset({'PSPTO_0366'}),118.52448094946416,optimal
frozenset({'PSPTO_1434'}),4.420312343121962e-14,optimal
frozenset({'PSPTO_4394'}),-5.644398838140351e-14,optimal
frozenset({'PSPTO_1890'}),118.52448094946361,optimal
frozenset({'PSPTO_5321'}),118.52448094946361,optimal
frozenset({'PSPTO_1843'}),118.52448094946361,optimal
frozenset({'PSPTO_3924'}),118.52448094946361,optimal
frozenset({'PSPTO_0726'}),118.52448094946361,optimal
frozenset({'PSPTO_5006'}),118.52448094946361,optimal
frozenset({'PSPTO_5358'}),118.51261843049882,optimal
frozenset({'PSPTO_5359'}),118.51261843049882,optimal
frozenset({'PSPTO_4687'}),118.52448094946467,optimal
frozenset({'PSPTO_3880'}),118.52274100184128,optimal
frozenset({'PSPTO_4461'}),118.52448094946467,optimal
frozenset({'PSPTO_4562'}),118.50795350934528,optimal
frozenset({'PSPTO_4402'}),9.897893134820615e-15,optimal
frozenset({'PSPTO_4098'}),118.52448094946395,optimal
frozenset({'PSPTO_0230'}),118.52448094946395,optimal
frozenset({'PSPTO_0494'}),-5.762155217266012e-12,optimal
frozenset({'PSPTO_0325'}),118.5244809494673,optimal
frozenset({'PSPTO_1886'}),118.5244809494673,optimal
frozenset({'PSPTO_5461'}),-1.991124138265993e-13,optimal
frozenset({'PSTPO_3833'}),-1.5826884175960458e-13,optimal
frozenset({'PSPTO_1131'}),118.52448094946442,optimal
frozenset({'PSPTO_2739'}),118.52448094946442,optimal
frozenset({'PSPTO_4363'}),118.52448094946442,optimal
frozenset({'PSPTO_3516'}),118.52448094946442,optimal
frozenset({'PSPTO_5127'}),-3.1629031908386694e-12,optimal
frozenset({'PSPTO_5035'}),118.52448094946327,optimal
frozenset({'PSPTO_3950'}),-1.0777428958449194e-11,optimal
frozenset({'PSPTO_3752'}),118.52448094946398,optimal
frozenset({'PSPTO_4895'}),118.52448094946398,optimal
frozenset({'PSPTO_4919'}),118.52448094946398,optimal
frozenset({'PSPTO_5314'}),118.52448094946398,optimal
frozenset({'PSPTO_5339'}),118.52448094946398,optimal
frozenset({'PSPTO_4413'}),118.52448094946398,optimal
frozenset({'PSPTO_4709'}),118.52448094946398,optimal
frozenset({'PSPTO_5595'}),1.2226622059591188e-14,optimal
frozenset({'PSPTO_5476'}),118.52448094946377,optimal
frozenset({'PSPTO_4167'}),109.04252247350675,optimal
frozenset({'PSPTO_3959'}),118.51404202994311,optimal
frozenset({'PSPTO_5270'}),118.52448094946395,optimal
frozenset({'PSPTO_3551'}),118.51439511229668,optimal
frozenset({'PSPTO_3661'}),118.52448094946395,optimal
frozenset({'PSPTO_1081'}),-5.591382458187627e-14,optimal
frozenset({'PSPTO_4337'}),97.76393502477424,optimal
frozenset({'PSPTO_4406'}),118.52448094946422,optimal
frozenset({'PSPTO_5319'}),118.52448094946422,optimal
frozenset({'PSPTO_4965'}),118.52448094946422,optimal
frozenset({'PSPTO_4916'}),118.52448094946422,optimal
frozenset({'PSPTO_2595'}),2.3060994936835974e-13,optimal
frozenset({'PSPTO_3860'}),118.52448094946384,optimal
frozenset({'PSPTO_4795'}),118.5244809494639,optimal
frozenset({'PSPTO_5266'}),-1.133568522123627e-13,optimal
frozenset({'PSPTO_4978'}),-2.644993218288463e-13,optimal
frozenset({'PSPTO_3360'}),118.52448094946354,optimal
frozenset({'PSPTO_5530'}),118.52448094946354,optimal
