rxn,pat,kegg
rxn00065_c,fig|223283.9.peg.240,
31,fig|223283.9.peg.240,PSPTO_0230
rxn04043_c,fig|223283.9.peg.2406,
rxn00772_c,fig|223283.9.peg.2406,
356,fig|223283.9.peg.2406,PSPTO_2371
rxn01545_c,fig|223283.9.peg.2408,
rxn01299_c,fig|223283.9.peg.2408,
357,fig|223283.9.peg.2408,PSPTO_2373
358,fig|223283.9.peg.2413,PSPTO_2378
359,fig|223283.9.peg.2415,PSPTO_2380
360,fig|223283.9.peg.2416,PSPTO_2381
361,fig|223283.9.peg.2417,PSPTO_2382
362,fig|223283.9.peg.2418,PSPTO_2383
363,fig|223283.9.peg.2437,PSPTO_2401
364,fig|223283.9.peg.2438,PSPTO_2402
rxn00615_c,fig|223283.9.peg.2439,
365,fig|223283.9.peg.2439,PSPTO_2403
366,fig|223283.9.peg.2445,PSPTO_2409
716,fig|223283.9.peg.2446,
717,fig|223283.9.peg.2447,
367,fig|223283.9.peg.2448,PSPTO_2411
368,fig|223283.9.peg.2464,PSPTO_2427
369,fig|223283.9.peg.2467,PSPTO_2430
370,fig|223283.9.peg.2486,PSPTO_2450
rxn00433_c,fig|223283.9.peg.2488,
371,fig|223283.9.peg.2488,PSPTO_2452
rxn00907_c,fig|223283.9.peg.2489,
rxn01211_c,fig|223283.9.peg.2489,
372,fig|223283.9.peg.2489,PSPTO_2453
rxn00247_c,fig|223283.9.peg.250,
32,fig|223283.9.peg.250,PSPTO_0239
rxn00189_c,fig|223283.9.peg.2528,
rxn00469_c,fig|223283.9.peg.2528,
373,fig|223283.9.peg.2528,PSPTO_2488
rxn05618_c,fig|223283.9.peg.2541,
374,fig|223283.9.peg.2541,PSPTO_2499
rxn01418_c,fig|223283.9.peg.2552,
375,fig|223283.9.peg.2552,PSPTO_2510
376,fig|223283.9.peg.2558,PSPTO_2517
rxn01364_c,fig|223283.9.peg.2609,
377,fig|223283.9.peg.2609,PSPTO_2568
rxn00299_c,fig|223283.9.peg.2619,
378,fig|223283.9.peg.2619,PSPTO_2578
rxn00085_c,fig|223283.9.peg.2627,
379,fig|223283.9.peg.2627,PSPTO_2585
380,fig|223283.9.peg.2629,PSPTO_2586
rxn01258_c,fig|223283.9.peg.2638,
381,fig|223283.9.peg.2638,PSPTO_2595
382,fig|223283.9.peg.2657,PSPTO_2611
33,fig|223283.9.peg.268,PSPTO_0258
rxn05150_c,fig|223283.9.peg.2683,
383,fig|223283.9.peg.2683,PSPTO_2633
rxn01830_c,fig|223283.9.peg.2687,
384,fig|223283.9.peg.2687,PSPTO_2637
34,fig|223283.9.peg.270,PSPTO_0259
714,fig|223283.9.peg.2702,
rxn00935_c,fig|223283.9.peg.2703,
rxn08900_c,fig|223283.9.peg.2703,
rxn08901_c,fig|223283.9.peg.2703,
715,fig|223283.9.peg.2703,
385,fig|223283.9.peg.2706,PSPTO_2655
rxn00509_c,fig|223283.9.peg.2711,
386,fig|223283.9.peg.2711,PSPTO_2660
387,fig|223283.9.peg.2719,PSPTO_2668
rxn00506_c,fig|223283.9.peg.2724,
rxn01851_c,fig|223283.9.peg.2724,
388,fig|223283.9.peg.2724,PSPTO_2673
rxn00149_c,fig|223283.9.peg.2732,
389,fig|223283.9.peg.2732,PSPTO_2680
390,fig|223283.9.peg.2737,PSPTO_2685
391,fig|223283.9.peg.2751,PSPTO_2697
rxn00547_c,fig|223283.9.peg.2756,
392,fig|223283.9.peg.2756,PSPTO_2701
393,fig|223283.9.peg.2757,PSPTO_2702
rxn01199_c,fig|223283.9.peg.2758,
rxn00629_c,fig|223283.9.peg.2758,
394,fig|223283.9.peg.2758,PSPTO_2703
rxn00623_c,fig|223283.9.peg.2785,
395,fig|223283.9.peg.2785,PSPTO_2730
rxn00693_c,fig|223283.9.peg.2788,
396,fig|223283.9.peg.2788,PSPTO_2732
rxn02889_c,fig|223283.9.peg.2793,
397,fig|223283.9.peg.2793,PSPTO_2736
rxn01504_c,fig|223283.9.peg.2794,
398,fig|223283.9.peg.2794,PSPTO_2737
399,fig|223283.9.peg.2795,PSPTO_2738
rxn00872_c,fig|223283.9.peg.2796,
rxn02866_c,fig|223283.9.peg.2796,
400,fig|223283.9.peg.2796,PSPTO_2739
rxn02898_c,fig|223283.9.peg.2799,
rxn00991_c,fig|223283.9.peg.2799,
401,fig|223283.9.peg.2799,PSPTO_2742
rxn01134_c,fig|223283.9.peg.2819,
402,fig|223283.9.peg.2819,PSPTO_2761
rxn08954_c,fig|223283.9.peg.2825,
403,fig|223283.9.peg.2825,PSPTO_2767
404,fig|223283.9.peg.2836,PSPTO_2778
35,fig|223283.9.peg.285,PSPTO_0272
rxn10474_c,fig|223283.9.peg.2856,
405,fig|223283.9.peg.2856,PSPTO_2798
rxn01297_c,fig|223283.9.peg.2923,
rxn01522_c,fig|223283.9.peg.2923,
406,fig|223283.9.peg.2923,PSPTO_2862
rxn01014_c,fig|223283.9.peg.2926,
407,fig|223283.9.peg.2926,PSPTO_2865
rxn00211_c,fig|223283.9.peg.2951,
408,fig|223283.9.peg.2951,PSPTO_2891
rxn00295_c,fig|223283.9.peg.2959,
rxn00214_c,fig|223283.9.peg.2959,
409,fig|223283.9.peg.2959,PSPTO_2900
410,fig|223283.9.peg.2977,PSPTO_2918
411,fig|223283.9.peg.2978,PSPTO_2919
412,fig|223283.9.peg.2979,PSPTO_2920
413,fig|223283.9.peg.2980,PSPTO_2921
rxn06672_c,fig|223283.9.peg.2981,
414,fig|223283.9.peg.2981,PSPTO_2922
415,fig|223283.9.peg.2983,PSPTO_2925
416,fig|223283.9.peg.2992,PSPTO_2934
417,fig|223283.9.peg.2993,PSPTO_2935
rxn03248_c,fig|223283.9.peg.2998,
rxn02680_c,fig|223283.9.peg.2998,
rxn02804_c,fig|223283.9.peg.2998,
rxn03243_c,fig|223283.9.peg.2998,
rxn00676_c,fig|223283.9.peg.2998,
418,fig|223283.9.peg.2998,PSPTO_2940
rxn03050_c,fig|223283.9.peg.3001,
rxn01188_c,fig|223283.9.peg.3001,
rxn03442_c,fig|223283.9.peg.3001,
rxn04732_c,fig|223283.9.peg.3001,
419,fig|223283.9.peg.3001,PSPTO_2944
420,fig|223283.9.peg.3010,PSPTO_2952
421,fig|223283.9.peg.3016,PSPTO_2957
rxn01919_c,fig|223283.9.peg.3024,
422,fig|223283.9.peg.3024,PSPTO_2965
rxn05250_c,fig|223283.9.peg.3053,
rxn05251_c,fig|223283.9.peg.3053,
rxn09450_c,fig|223283.9.peg.3053,
rxn00947_c,fig|223283.9.peg.3053,
rxn00988_c,fig|223283.9.peg.3053,
rxn05247_c,fig|223283.9.peg.3053,
rxn05252_c,fig|223283.9.peg.3053,
rxn09449_c,fig|223283.9.peg.3053,
rxn05249_c,fig|223283.9.peg.3053,
