rxn,pat,kegg
rxn00527_c,fig|223283.9.peg.5640,
rxn00260_c,fig|223283.9.peg.5640,
696,fig|223283.9.peg.5640,PSPTO_5504
697,fig|223283.9.peg.5652,PSPTO_5516
698,fig|223283.9.peg.5655,PSPTO_5519
rxn00124_c,fig|223283.9.peg.5657,
rxn01396_c,fig|223283.9.peg.5657,
rxn01807_c,fig|223283.9.peg.5657,
699,fig|223283.9.peg.5657,PSPTO_5521
700,fig|223283.9.peg.5664,PSPTO_5528
701,fig|223283.9.peg.5676,PSPTO_5541
702,fig|223283.9.peg.5693,PSPTO_5557
703,fig|223283.9.peg.5721,PSPTO_5585
rxn03638_c,fig|223283.9.peg.5734,
rxn00293_c,fig|223283.9.peg.5734,
704,fig|223283.9.peg.5734,PSPTO_5597
705,fig|223283.9.peg.5735,PSPTO_5598
rxn10042_c,fig|223283.9.peg.5736,
706,fig|223283.9.peg.5736,PSPTO_5599
707,fig|223283.9.peg.5737,PSPTO_5600
708,fig|223283.9.peg.5738,PSPTO_5601
709,fig|223283.9.peg.5739,PSPTO_5602
710,fig|223283.9.peg.5743,PSPTO_5606
rxn01116_c,fig|223283.9.peg.575,
71,fig|223283.9.peg.575,PSPTO_0566
711,fig|223283.9.peg.5751,PSPTO_5614
712,fig|223283.9.peg.5752,PSPTO_5615
72,fig|223283.9.peg.577,PSPTO_0568
713,fig|223283.9.peg.5854,PSPTOA0032
rxn00727_c,fig|223283.9.peg.597,
rxn00726_c,fig|223283.9.peg.597,
rxn01257_c,fig|223283.9.peg.597,
73,fig|223283.9.peg.597,PSPTO_0592
rxn00790_c,fig|223283.9.peg.598,
rxn00791_c,fig|223283.9.peg.598,
74,fig|223283.9.peg.598,PSPTO_0593
rxn02507_c,fig|223283.9.peg.599,
75,fig|223283.9.peg.599,PSPTO_0594
rxn00127_c,fig|223283.9.peg.603,
76,fig|223283.9.peg.603,PSPTO_0598
rxn02465_c,fig|223283.9.peg.609,
77,fig|223283.9.peg.609,PSPTO_0604
78,fig|223283.9.peg.613,PSPTO_0609
79,fig|223283.9.peg.616,PSPTO_0610
rxn12510_c,fig|223283.9.peg.617,
80,fig|223283.9.peg.617,PSPTO_0611
81,fig|223283.9.peg.622,PSPTO_0616
82,fig|223283.9.peg.623,PSPTO_0617
83,fig|223283.9.peg.625,PSPTO_0619
rxn13784_c,fig|223283.9.peg.626,
84,fig|223283.9.peg.626,PSPTO_0620
85,fig|223283.9.peg.627,PSPTO_0621
86,fig|223283.9.peg.628,PSPTO_0622
87,fig|223283.9.peg.631,PSPTO_0625
88,fig|223283.9.peg.632,PSPTO_0626
89,fig|223283.9.peg.633,PSPTO_0627
90,fig|223283.9.peg.634,PSPTO_0628
91,fig|223283.9.peg.635,PSPTO_0629
92,fig|223283.9.peg.636,PSPTO_0630
93,fig|223283.9.peg.637,PSPTO_0631
94,fig|223283.9.peg.638,PSPTO_0632
95,fig|223283.9.peg.639,PSPTO_0633
96,fig|223283.9.peg.640,PSPTO_0634
97,fig|223283.9.peg.641,PSPTO_0635
98,fig|223283.9.peg.642,PSPTO_0636
99,fig|223283.9.peg.643,PSPTO_0637
100,fig|223283.9.peg.644,PSPTO_0638
101,fig|223283.9.peg.645,PSPTO_0639
102,fig|223283.9.peg.646,PSPTO_0640
103,fig|223283.9.peg.647,PSPTO_0641
104,fig|223283.9.peg.648,PSPTO_0642
105,fig|223283.9.peg.649,PSPTO_0643
106,fig|223283.9.peg.650,PSPTO_0644
107,fig|223283.9.peg.651,PSPTO_0645
108,fig|223283.9.peg.653,PSPTO_0647
109,fig|223283.9.peg.654,PSPTO_0648
110,fig|223283.9.peg.655,PSPTO_0649
111,fig|223283.9.peg.656,PSPTO_0650
112,fig|223283.9.peg.657,PSPTO_0651
113,fig|223283.9.peg.658,PSPTO_0652
114,fig|223283.9.peg.662,PSPTO_0656
rxn08669_c,fig|223283.9.peg.666,
115,fig|223283.9.peg.666,PSPTO_0660
116,fig|223283.9.peg.667,PSPTO_0661
rxn05158_c,fig|223283.9.peg.668,
117,fig|223283.9.peg.668,PSPTO_0662
118,fig|223283.9.peg.669,PSPTO_0663
rxn05206_c,fig|223283.9.peg.684,
119,fig|223283.9.peg.684,PSPTO_0676
120,fig|223283.9.peg.685,PSPTO_0677
121,fig|223283.9.peg.686,PSPTO_0678
rxn02474_c,fig|223283.9.peg.698,
122,fig|223283.9.peg.698,PSPTO_0690
rxn00048_c,fig|223283.9.peg.699,
123,fig|223283.9.peg.699,PSPTO_0691
rxn05040_c,fig|223283.9.peg.700,
rxn00300_c,fig|223283.9.peg.700,
124,fig|223283.9.peg.700,PSPTO_0692
rxn03080_c,fig|223283.9.peg.701,
125,fig|223283.9.peg.701,PSPTO_0693
126,fig|223283.9.peg.704,PSPTO_0696
rxn03909_c,fig|223283.9.peg.706,
127,fig|223283.9.peg.706,PSPTO_0698
rxn01213_c,fig|223283.9.peg.707,
rxn01466_c,fig|223283.9.peg.707,
128,fig|223283.9.peg.707,PSPTO_0699
rxn00566_c,fig|223283.9.peg.709,
rxn00950_c,fig|223283.9.peg.709,
129,fig|223283.9.peg.709,PSPTO_0701
rxn00001_c,fig|223283.9.peg.730,
130,fig|223283.9.peg.730,PSPTO_0722
131,fig|223283.9.peg.734,PSPTO_0726
rxn00539_c,fig|223283.9.peg.735,
132,fig|223283.9.peg.735,PSPTO_0727
133,fig|223283.9.peg.736,PSPTO_0728
134,fig|223283.9.peg.752,PSPTO_0744
135,fig|223283.9.peg.758,PSPTO_0750
rxn00242_c,fig|223283.9.peg.76,
rxn00303_c,fig|223283.9.peg.76,
3,fig|223283.9.peg.76,PSPTO_0073
rxn01137_c,fig|223283.9.peg.765,
136,fig|223283.9.peg.765,PSPTO_0757
137,fig|223283.9.peg.768,PSPTO_0760
rxn05557_c,fig|223283.9.peg.769,
138,fig|223283.9.peg.769,PSPTO_0761
139,fig|223283.9.peg.771,PSPTO_0763
140,fig|223283.9.peg.773,PSPTO_0765
rxn00239_c,fig|223283.9.peg.78,
4,fig|223283.9.peg.78,PSPTO_0075
rxn05202_c,fig|223283.9.peg.781,
141,fig|223283.9.peg.781,PSPTO_0772
rxn00656_c,fig|223283.9.peg.783,
rxn02925_c,fig|223283.9.peg.783,
142,fig|223283.9.peg.783,PSPTO_0774
rxn00501_c,fig|223283.9.peg.794,
rxn00671_c,fig|223283.9.peg.794,
143,fig|223283.9.peg.794,PSPTO_0782
rxn02791_c,fig|223283.9.peg.800,
rxn00350_c,fig|223283.9.peg.800,
144,fig|223283.9.peg.800,PSPTO_0787
145,fig|223283.9.peg.810,PSPTO_0797
146,fig|223283.9.peg.811,PSPTO_0798
rxn00179_c,fig|223283.9.peg.814,
147,fig|223283.9.peg.814,PSPTO_0800
148,fig|223283.9.peg.816,PSPTO_0802
rxn00392_c,fig|223283.9.peg.818,
rxn00122_c,fig|223283.9.peg.818,
149,fig|223283.9.peg.818,PSPTO_0805
150,fig|223283.9.peg.819,PSPTO_0806
rxn08352_c,fig|223283.9.peg.822,
rxn08756_c,fig|223283.9.peg.822,
151,fig|223283.9.peg.822,PSPTO_0809
rxn00269_c,fig|223283.9.peg.830,
152,fig|223283.9.peg.830,PSPTO_0817
5,fig|223283.9.peg.84,PSPTO_0080
rxn00778_c,fig|223283.9.peg.851,
153,fig|223283.9.peg.851,PSPTO_0836
rxn01329_c,fig|223283.9.peg.87,
6,fig|223283.9.peg.87,PSPTO_0083
rxn00519_c,fig|223283.9.peg.89,
rxn09177_c,fig|223283.9.peg.89,
rxn02341_c,fig|223283.9.peg.89,
7,fig|223283.9.peg.89,PSPTO_0085
rxn11587_c,fig|223283.9.peg.897,
rxn11609_c,fig|223283.9.peg.897,
154,fig|223283.9.peg.897,PSPTO_0885
rxn05608_c,fig|223283.9.peg.898,
155,fig|223283.9.peg.898,PSPTO_0886
8,fig|223283.9.peg.93,PSPTO_0089
rxn00100_c,fig|223283.9.peg.933,
rxn00134_c,fig|223283.9.peg.933,
156,fig|223283.9.peg.933,PSPTO_0923
9,fig|223283.9.peg.94,PSPTO_0090
rxn02402_c,fig|223283.9.peg.958,
157,fig|223283.9.peg.958,PSPTO_0948
10,fig|223283.9.peg.96,PSPTO_0092
rxn05617_c,fig|223283.9.peg.964,
rxn05607_c,fig|223283.9.peg.964,
rxn05655_c,fig|223283.9.peg.964,
rxn05485_c,fig|223283.9.peg.964,
rxn05610_c,fig|223283.9.peg.964,
rxn05226_c,fig|223283.9.peg.964,
rxn02005_c,fig|223283.9.peg.964,
158,fig|223283.9.peg.964,PSPTO_0954
rxn01492_c,fig|223283.9.peg.965,
159,fig|223283.9.peg.965,PSPTO_0955
rxn05560_c,fig|223283.9.peg.966,
160,fig|223283.9.peg.966,PSPTO_0956
rxn00178_c,fig|223283.9.peg.967,
rxn00874_c,fig|223283.9.peg.967,
161,fig|223283.9.peg.967,PSPTO_0957
rxn02380_c,fig|223283.9.peg.969,
rxn01044_c,fig|223283.9.peg.969,
rxn01977_c,fig|223283.9.peg.969,
rxn00223_c,fig|223283.9.peg.969,
rxn00558_c,fig|223283.9.peg.969,
162,fig|223283.9.peg.969,PSPTO_0959
rxn01791_c,fig|223283.9.peg.970,
163,fig|223283.9.peg.970,PSPTO_0960
164,fig|223283.9.peg.971,PSPTO_0961
rxn02503_c,fig|223283.9.peg.972,
165,fig|223283.9.peg.972,PSPTO_0962
rxn00904_c,fig|223283.9.peg.980,
166,fig|223283.9.peg.980,PSPTO_0970
167,fig|223283.9.peg.986,PSPTO_0977
rxn00011_c,fig|223283.9.peg.990,
rxn02185_c,fig|223283.9.peg.990,
168,fig|223283.9.peg.990,PSPTO_0981
169,fig|223283.9.peg.991,PSPTO_0982
rxn10231_c,fig|223283.9.peg.993,
rxn10228_c,fig|223283.9.peg.993,
rxn09206_c,fig|223283.9.peg.993,
rxn09209_c,fig|223283.9.peg.993,
rxn10230_c,fig|223283.9.peg.993,
rxn10227_c,fig|223283.9.peg.993,
rxn09210_c,fig|223283.9.peg.993,
rxn09205_c,fig|223283.9.peg.993,
rxn10229_c,fig|223283.9.peg.993,
rxn10226_c,fig|223283.9.peg.993,
rxn09211_c,fig|223283.9.peg.993,
rxn09207_c,fig|223283.9.peg.993,
rxn09208_c,fig|223283.9.peg.993,
170,fig|223283.9.peg.993,PSPTO_0984
