Source,Target,UniprotKB ACC,PATRIC ID
fig|223283.9.peg.3601,PSPTO_3516,,fig|223283.9.peg.3601
fig|223283.9.peg.3602,PSPTO_3517,,fig|223283.9.peg.3602
fig|223283.9.peg.361,PSPTO_0346,,fig|223283.9.peg.361
fig|223283.9.peg.3618,PSPTO_3530,,fig|223283.9.peg.3618
fig|223283.9.peg.3640,PSPTO_3551,,fig|223283.9.peg.3640
fig|223283.9.peg.3642,PSPTO_3553,,fig|223283.9.peg.3642
fig|223283.9.peg.3649,PSPTO_3559,,fig|223283.9.peg.3649
fig|223283.9.peg.3653,PSPTO_3564,,fig|223283.9.peg.3653
fig|223283.9.peg.373,PSPTO_0357,,fig|223283.9.peg.373
fig|223283.9.peg.3735,PSPTO_3646,,fig|223283.9.peg.3735
fig|223283.9.peg.3748,PSPTO_3658,,fig|223283.9.peg.3748
fig|223283.9.peg.375,PSPTO_0359,,fig|223283.9.peg.375
fig|223283.9.peg.3750,PSPTO_3660,,fig|223283.9.peg.3750
fig|223283.9.peg.3751,PSPTO_3661,,fig|223283.9.peg.3751
fig|223283.9.peg.3753,PSPTO_3663,,fig|223283.9.peg.3753
fig|223283.9.peg.3759,PSPTO_3668,,fig|223283.9.peg.3759
fig|223283.9.peg.3786,PSPTO_3694,,fig|223283.9.peg.3786
fig|223283.9.peg.3793,PSPTO_3701,,fig|223283.9.peg.3793
fig|223283.9.peg.3794,PSPTO_3702,,fig|223283.9.peg.3794
fig|223283.9.peg.3813,PSPTO_3721,,fig|223283.9.peg.3813
fig|223283.9.peg.3825,PSPTO_3733,,fig|223283.9.peg.3825
fig|223283.9.peg.3834,PSPTO_3742,,fig|223283.9.peg.3834
fig|223283.9.peg.3837,PSPTO_3745,,fig|223283.9.peg.3837
fig|223283.9.peg.3846,PSPTO_3752,,fig|223283.9.peg.3846
fig|223283.9.peg.3852,PSPTO_3757,,fig|223283.9.peg.3852
fig|223283.9.peg.3868,PSPTO_3772,,fig|223283.9.peg.3868
fig|223283.9.peg.3883,PSPTO_3788,,fig|223283.9.peg.3883
fig|223283.9.peg.3888,PSPTO_3793,,fig|223283.9.peg.3888
fig|223283.9.peg.3903,PSPTO_3806,,fig|223283.9.peg.3903
fig|223283.9.peg.3907,PSPTO_3810,,fig|223283.9.peg.3907
fig|223283.9.peg.3908,PSPTO_3811,,fig|223283.9.peg.3908
fig|223283.9.peg.3911,PSPTO_3814,,fig|223283.9.peg.3911
fig|223283.9.peg.3912,PSPTO_3815,,fig|223283.9.peg.3912
fig|223283.9.peg.3913,PSPTO_3816,,fig|223283.9.peg.3913
fig|223283.9.peg.3923,PSPTO_3826,,fig|223283.9.peg.3923
fig|223283.9.peg.3924,PSPTO_3827,,fig|223283.9.peg.3924
fig|223283.9.peg.3926,PSPTO_3829,,fig|223283.9.peg.3926
fig|223283.9.peg.3927,PSPTO_3830,,fig|223283.9.peg.3927
fig|223283.9.peg.3930,PSPTO_3833,,fig|223283.9.peg.3930
fig|223283.9.peg.3932,PSPTO_3835,,fig|223283.9.peg.3932
fig|223283.9.peg.3939,PSPTO_3842,,fig|223283.9.peg.3939
fig|223283.9.peg.3940,PSPTO_3843,,fig|223283.9.peg.3940
fig|223283.9.peg.3942,PSPTO_3845,,fig|223283.9.peg.3942
