ids,growth,status
frozenset({'PSPTO_3344'}),-1.41E-14,optimal
frozenset({'PSPTO_0308'}),-1.28E-14,optimal
frozenset({'PSPTO_2739'}),-9.45E-15,optimal
frozenset({'PSPTO_3745'}),-6.06E-15,optimal
frozenset({'PSPTO_5035'}),-3.78E-15,optimal
frozenset({'PSPTO_1434'}),-2.79E-15,optimal
frozenset({'PSPTO_3871'}),-1.33E-15,optimal
frozenset({'PSPTO_4449'}),0,optimal
frozenset({'PSPTO_5461'}),0,optimal
frozenset({'PSPTO_1449'}),0,optimal
frozenset({'PSPTO_1552'}),4.93E-15,optimal
frozenset({'PSPTO_4495'}),9.92E-15,optimal
frozenset({'PSPTO_1079'}),9.92E-15,optimal
frozenset({'PSPTO_0170'}),1.14E-14,optimal
frozenset({'PSPTO_0961'}),1.15E-14,optimal
frozenset({'PSPTO_0923'}),1.16E-14,optimal
frozenset({'PSPTO_5049'}),1.48E-14,optimal
frozenset({'PSPTO_2282'}),1.49E-14,optimal
frozenset({'PSPTO_0325'}),1.50E-14,optimal
frozenset({'PSPTO_5401'}),1.50E-14,optimal
frozenset({'PSPTO_1077'}),1.56E-14,optimal
frozenset({'PSPTO_2210'}),1.85E-14,optimal
frozenset({'PSPTO_5126'}),2.47E-14,optimal
frozenset({'PSTPO_3833'}),2.64E-14,optimal
frozenset({'PSPTO_0726'}),2.77E-14,optimal
frozenset({'PSPTO_3832'}),2.78E-14,optimal
frozenset({'PSPTO_2055'}),2.87E-14,optimal
frozenset({'PSPTO_1633'}),2.89E-14,optimal
frozenset({'223283.9.peg.3927'}),3.64E-14,optimal
frozenset({'PSPTO_0159'}),3.89E-14,optimal
frozenset({'PSPTO_5068'}),3.97E-14,optimal
frozenset({'PSPTO_1542'}),4.00E-14,optimal
frozenset({'PSPTO_2510'}),4.32E-14,optimal
frozenset({'PSPTO_0960'}),4.52E-14,optimal
frozenset({'PSPTO_4955'}),4.73E-14,optimal
frozenset({'PSPTO_5154'}),4.96E-14,optimal
frozenset({'PSPTO_1430'}),4.96E-14,optimal
frozenset({'PSPTO_2732'}),5.06E-14,optimal
frozenset({'PSPTO_4402'}),5.14E-14,optimal
frozenset({'PSPTO_1675'}),5.94E-14,optimal
frozenset({'PSPTO_4978'}),7.33E-14,optimal
frozenset({'PSPTO_1747'}),8.51E-14,optimal
frozenset({'PSPTO_0698'}),8.81E-14,optimal
frozenset({'PSPTO_0699'}),9.15E-14,optimal
frozenset({'PSPTO_4164'}),9.74E-14,optimal
frozenset({'PSPTO_5597'}),1.03E-13,optimal
frozenset({'PSPTO_1661'}),1.14E-13,optimal
frozenset({'PSPTO_1332'}),1.14E-13,optimal
frozenset({'PSPTO_2742'}),1.19E-13,optimal
frozenset({'PSPTO_0310'}),1.20E-13,optimal
frozenset({'PSPTO_5338'}),1.23E-13,optimal
frozenset({'PSPTO_4496'}),1.24E-13,optimal
frozenset({'PSPTO_1540'}),1.28E-13,optimal
frozenset({'PSPTO_0727'}),1.47E-13,optimal
frozenset({'PSPTO_5266'}),1.64E-13,optimal
frozenset({'PSPTO_5127'}),1.79E-13,optimal
frozenset({'PSPTO_0383'}),1.92E-13,optimal
frozenset({'PSPTO_4501'}),2.08E-13,optimal
frozenset({'PSPTO_0693'}),2.11E-13,optimal
frozenset({'PSPTO_1562'}),2.14E-13,optimal
frozenset({'PSPTO_3833'}),2.16E-13,optimal
frozenset({'PSPTO_0593'}),2.57E-13,optimal
frozenset({'PSPTO_1536'}),3.39E-13,optimal
frozenset({'PSPTO_4866'}),3.66E-12,optimal
frozenset({'PSPTO_1459'}),5.62E-12,optimal
frozenset({'PSPTO_2595'}),7.94E-12,optimal
frozenset({'PSPTO_2043'}),8.20E-12,optimal
frozenset({'PSPTO_1699'}),1.14E-11,optimal
frozenset({'PSPTO_3814'}),1.46E-11,optimal
frozenset({'PSPTO_4859'}),1.74E-11,optimal
frozenset({'PSPTO_4828'}),4.96E-11,optimal
frozenset({'PSPTO_0085'}),8.89E-11,optimal
frozenset({'PSPTO_0417'}),1.25E-10,optimal
frozenset({'PSPTO_5598'}),61.38045701,optimal
frozenset({'PSPTO_5600'}),61.38045701,optimal
frozenset({'PSPTO_5603'}),61.38045701,optimal
frozenset({'PSPTO_5604'}),61.38045701,optimal
frozenset({'PSPTO_4337'}),61.38045701,optimal
frozenset({'PSPTO_5121'}),61.38045701,optimal
frozenset({'PSPTO_3811'}),61.82710864,optimal
frozenset({'PSPTO_1136'}),68.19498948,optimal
frozenset({'PSPTO_0956'}),72.39837657,optimal
frozenset({'Unknown'}),72.39837657,optimal
frozenset({'PSPTO_0954'}),72.39837657,optimal
frozenset({'PSPTO_0387'}),73.65654841,optimal
frozenset({'PSPTO_1287'}),73.65654841,optimal
frozenset({'PSPTO_3757'}),76.94201146,optimal
frozenset({'PSPTO_1509'}),79.72623583,optimal
frozenset({'PSPTO_1554'}),81.84851381,optimal
frozenset({'PSPTO_5327'}),81.84851381,optimal
frozenset({'PSPTO_4155'}),83.24221019,optimal
frozenset({'PSPTO_0125'}),83.24221019,optimal
frozenset({'PSPTO_2119'}),84.31556975,optimal
frozenset({'PSPTO_0957'}),85.48142134,optimal
frozenset({'PSPTO_3455'}),85.51147379,optimal
frozenset({'PSPTO_2925'}),85.593414,optimal
frozenset({'PSPTO_0385'}),85.71977197,optimal
frozenset({'PSPTO_2199'}),85.80911858,optimal
frozenset({'PSPTO_2200'}),85.80911858,optimal
frozenset({'PSPTO_2373'}),85.82060106,optimal
frozenset({'PSTPO_0757'}),85.85921814,optimal
frozenset({'PSPTO_4399'}),85.87571288,optimal
frozenset({'PSPTO_0981'}),85.88524053,optimal
frozenset({'PSPTO_0982'}),85.88524053,optimal
frozenset({'PSPTO_3551'}),85.9010912,optimal
frozenset({'PSPTO_3959'}),85.91739878,optimal
frozenset({'PSPTO_4225'}),85.91739878,optimal
frozenset({'PSPTO_4687'}),85.93263981,optimal
frozenset({'PSPTO_3880'}),85.93263981,optimal
frozenset({'PSPTO_4461'}),85.93263981,optimal
frozenset({'PSPTO_4562'}),85.93263981,optimal
frozenset({'PSPTO_3881'}),85.93263981,optimal
frozenset({'PSPTO_2341'}),85.93263981,optimal
frozenset({'PSPTO_5017'}),85.93263981,optimal
frozenset({'PSPTO_4111'}),85.93263981,optimal
frozenset({'PSPTO_4063'}),85.93263981,optimal
frozenset({'PSPTO_5251'}),85.93263981,optimal
frozenset({'PSPTO_5528'}),85.93263981,optimal
frozenset({'PSPTO_0696'}),85.93263981,optimal
frozenset({'PSPTO_2680'}),85.93263981,optimal
frozenset({'PSPTO_4168'}),85.93263981,optimal
frozenset({'PSPTO_4265'}),85.93263981,optimal
frozenset({'PSPTO_3164'}),85.93263981,optimal
frozenset({'PSPTO_2201'}),85.93263981,optimal
frozenset({'PSPTO_5261'}),85.93263981,optimal
frozenset({'PSPTO_2026'}),85.93263981,optimal
frozenset({'PSPTO_2944'}),85.93263981,optimal
frozenset({'PSPTO_0129'}),85.93263981,optimal
frozenset({'PSPTO_2196'}),85.93263981,optimal
frozenset({'PSPTO_5476'}),85.93263981,optimal
frozenset({'PSPTO_4167'}),85.93263981,optimal
frozenset({'PSPTO_1550'}),85.93263981,optimal
frozenset({'PSPTO_2367'}),85.93263981,optimal
frozenset({'PSPTO_0592'}),85.93263981,optimal
frozenset({'PSPTO_1558'}),85.93263981,optimal
frozenset({'PSPTO_4433'}),85.93263981,optimal
frozenset({'PSPTO_0566'}),85.93263981,optimal
frozenset({'PSPTO_2915'}),85.93263981,optimal
frozenset({'PSPTO_5270'}),85.93263981,optimal
frozenset({'PSPTO_3661'}),85.93263981,optimal
frozenset({'PSPTO_2369'}),85.93263981,optimal
frozenset({'PSPTO_0800'}),85.93263981,optimal
frozenset({'PSPTO_2035'}),85.93263981,optimal
frozenset({'PSPTO_0338'}),85.93263981,optimal
frozenset({'PSPTO_1207'}),85.93263981,optimal
frozenset({'PSPTO_2106'}),85.93263981,optimal
frozenset({'PSPTO_5320'}),85.93263981,optimal
frozenset({'PSPTO_4110'}),85.93263981,optimal
frozenset({'PSPTO_4690'}),85.93263981,optimal
frozenset({'PSPTO_1053'}),85.93263981,optimal
frozenset({'PSPTO_0873'}),85.93263981,optimal
frozenset({'PSPTO_4339'}),85.93263981,optimal
frozenset({'PSPTO_5541'}),85.93263981,optimal
frozenset({'PSPTO_4312'}),85.93263981,optimal
frozenset({'PSPTO_0364'}),85.93263981,optimal
frozenset({'PSPTO_0541'}),85.93263981,optimal
frozenset({'PSPTO_2402'}),85.93263981,optimal
frozenset({'PSPTO_0500'}),85.93263981,optimal
frozenset({'PSPTO_4682'}),85.93263981,optimal
frozenset({'PSPTO_5728'}),85.93263981,optimal
frozenset({'PSPTO_3461'}),85.93263981,optimal
frozenset({'PSPTO_0457'}),85.93263981,optimal
frozenset({'PAPTO_2706'}),85.93263981,optimal
frozenset({'PSPTO_0323'}),85.93263981,optimal
frozenset({'PSPTO_4112'}),85.93263981,optimal
frozenset({'PSPTO_3902'}),85.93263981,optimal
frozenset({'PSPTO_4564'}),85.93263981,optimal
frozenset({'PSPTO_5278'}),85.93263981,optimal
frozenset({'PSPTO_2028'}),85.93263981,optimal
frozenset({'PSPTO_1302'}),85.93263981,optimal
frozenset({'PSPTO_4921'}),85.93263981,optimal
frozenset({'PSPTO_0480'}),85.93263981,optimal
frozenset({'PSPTO_0766'}),85.93263981,optimal
frozenset({'PSPTO_0459'}),85.93263981,optimal
frozenset({'PSPTO_1354'}),85.93263981,optimal
frozenset({'PSPTO_0959'}),85.93263981,optimal
frozenset({'PSPTO_3356'}),85.93263981,optimal
frozenset({'PSPTO_0169'}),85.93263981,optimal
frozenset({'PSPTO_1754'}),85.93263981,optimal
frozenset({'PSPTO_2045'}),85.93263981,optimal
frozenset({'PSPTO_4098'}),85.93263981,optimal
frozenset({'PSPTO_0230'}),85.93263981,optimal
frozenset({'PSPTO_4363'}),85.93263981,optimal
frozenset({'PSPTO_3516'}),85.93263981,optimal
frozenset({'PSPTO_3368'}),85.93263981,optimal
frozenset({'PSPTO_1421'}),85.93263981,optimal
frozenset({'PSPTO_5279'}),85.93263981,optimal
frozenset({'PSPTO_0495'}),85.93263981,optimal
frozenset({'PSPTO_1694'}),85.93263981,optimal
frozenset({'PSPTO_4179'}),85.93263981,optimal
frozenset({'PSPTO_1838'}),85.93263981,optimal
frozenset({'PSPTO_5016'}),85.93263981,optimal
frozenset({'PSPTO_3830'}),85.93263981,optimal
frozenset({'PSPTO_2900'}),85.93263981,optimal
frozenset({'PSPTO_3842'}),85.93263981,optimal
frozenset({'PSTPO_5279'}),85.93263981,optimal
frozenset({'PSPTO_5187'}),85.93263981,optimal
frozenset({'PSPTO_2348'}),85.93263981,optimal
frozenset({'PSPTO_4410'}),85.93263981,optimal
frozenset({'PSPTO_2338'}),85.93263981,optimal
frozenset({'SPONTANEOUS'}),85.93263981,optimal
frozenset({'PSPTO_5023'}),85.93263981,optimal
frozenset({'PSPTO_3815'}),85.93263981,optimal
frozenset({'PSPTO_0103'}),85.93263981,optimal
frozenset({'PSPTO_2368'}),85.93263981,optimal
frozenset({'PSPTO_2912'}),85.93263981,optimal
frozenset({'PSPTO_3027'}),85.93263981,optimal
frozenset({'PSPTO_4097'}),85.93263981,optimal
frozenset({'PSPTO_1881'}),85.93263981,optimal
frozenset({'PSPTO_3367'}),85.93263981,optimal
frozenset({'PSPTO_5316'}),85.93263981,optimal
frozenset({'PSPTO_4109'}),85.93263981,optimal
frozenset({'PSPTO_4685'}),85.93263981,optimal
frozenset({'PSPTO_4807'}),85.93263981,optimal
frozenset({'PSPTO_5521'}),85.93263981,optimal
frozenset({'PSPTO_2019'}),85.93263981,optimal
frozenset({'PSPTO_1682'}),85.93263981,optimal
frozenset({'PSPTO_3360'}),85.93263981,optimal
frozenset({'PSPTO_5530'}),85.93263981,optimal
frozenset({'PSPTO_1005'}),85.93263981,optimal
frozenset({'PSPTO_0073'}),85.93263981,optimal
frozenset({'PSPTO_5134'}),85.93263981,optimal
frozenset({'PSPTO_3054'}),85.93263981,optimal
frozenset({'PSPTO_0083'}),85.93263981,optimal
frozenset({'PSPTO_1326'}),85.93263981,optimal
frozenset({'PSPTO_0259'}),85.93263981,optimal
frozenset({'PSPTO_2277'}),85.93263981,optimal
frozenset({'PSPTO_1990'}),85.93263981,optimal
frozenset({'PSPTO_3370'}),85.93263981,optimal
frozenset({'PSPTO_5260'}),85.93263981,optimal
frozenset({'PSPTO_5047'}),85.93263981,optimal
frozenset({'PSPTO_0095'}),85.93263981,optimal
frozenset({'PSPTO_5005'}),85.93263981,optimal
frozenset({'PSPTO_1329'}),85.93263981,optimal
frozenset({'PSPTO_2178'}),85.93263981,optimal
frozenset({'PSPTO_4307'}),85.93263981,optimal
frozenset({'PSPTO_4441'}),85.93263981,optimal
frozenset({'PSPTO_1746'}),85.93263981,optimal
frozenset({'PSPTO_4459'}),85.93263981,optimal
frozenset({'PSPTO_1748'}),85.93263981,optimal
frozenset({'PSPTO_2244'}),85.93263981,optimal
frozenset({'PSPTO_4502'}),85.93263981,optimal
frozenset({'PSPTO_2197'}),85.93263981,optimal
frozenset({'PSPTO_2275'}),85.93263981,optimal
frozenset({'PSPTO_4547'}),85.93263981,optimal
frozenset({'PSPTO_1148'}),85.93263981,optimal
frozenset({'PSPTO_1669'}),85.93263981,optimal
frozenset({'PSPTO_2292'}),85.93263981,optimal
frozenset({'PSPTO_5080'}),85.93263981,optimal
frozenset({'PSPTO_0490'}),85.93263981,optimal
frozenset({'PSPTO_1744'}),85.93263981,optimal
frozenset({'PSPTO_2787'}),85.93263981,optimal
frozenset({'PSPTO_0782'}),85.93263981,optimal
frozenset({'PSPTO_4908'}),85.93263981,optimal
frozenset({'PSPTO_5360'}),85.93263981,optimal
frozenset({'PSPTO_5302'}),85.93263981,optimal
frozenset({'PSPTO_4918'}),85.93263981,optimal
frozenset({'PSPTO_2940'}),85.93263981,optimal
frozenset({'PSPTO_5356'}),85.93263981,optimal
frozenset({'PSPTO_2016'}),85.93263981,optimal
frozenset({'PSPTO_2242'}),85.93263981,optimal
frozenset({'PSPTO_1835'}),85.93263981,optimal
frozenset({'PSPTO_0955'}),85.93263981,optimal
frozenset({'PSPTO_0962'}),85.93263981,optimal
frozenset({'PSPTO_5274'}),85.93263981,optimal
frozenset({'PSPTO_4829'}),85.93263981,optimal
frozenset({'PSPTO_4407'}),85.93263981,optimal
frozenset({'PSPTO_1112'}),85.93263981,optimal
frozenset({'PSPTO_0080'}),85.93263981,optimal
frozenset({'PSPTO_2195'}),85.93263981,optimal
frozenset({'PSPTO_5499'}),85.93263981,optimal
frozenset({'PSPTO_5189'}),85.93263981,optimal
frozenset({'PSPTO_3810'}),85.93263981,optimal
frozenset({'PSPTO_0817'}),85.93263981,optimal
frozenset({'PSPTO_0775'}),85.93263981,optimal
frozenset({'PSPTO_5171'}),85.93263981,optimal
frozenset({'PSPTO_1327'}),85.93263981,optimal
frozenset({'PSPTO_1108'}),85.93263981,optimal
frozenset({'PSPTO_1760'}),85.93263981,optimal
frozenset({'PSPTO_3463'}),85.93263981,optimal
frozenset({'PSPTO_3376'}),85.93263981,optimal
frozenset({'PSPTO_1859'}),85.93263981,optimal
frozenset({'PSPTO_4891'}),85.93263981,optimal
frozenset({'PSPTO_1539'}),85.93263981,optimal
frozenset({'PSPTO_4686'}),85.93263981,optimal
frozenset({'PSPTO_3503'}),85.93263981,optimal
frozenset({'PSPTO_0744'}),85.93263981,optimal
frozenset({'PSPTO_4945'}),85.93263981,optimal
frozenset({'PSPTO_2950'}),85.93263981,optimal
frozenset({'PSPTO_2046'}),85.93263981,optimal
frozenset({'PSPTO_2786'}),85.93263981,optimal
frozenset({'PSPTO_2401'}),85.93263981,optimal
frozenset({'PSPTO_4680'}),85.93263981,optimal
frozenset({'PSPTO_4144'}),85.93263981,optimal
frozenset({'PSPTO_1182'}),85.93263981,optimal
frozenset({'PSPTO_4563'}),85.93263981,optimal
frozenset({'PSPTO_4432'}),85.93263981,optimal
frozenset({'PSPTO_0676'}),85.93263981,optimal
frozenset({'PSPTO_0750'}),85.93263981,optimal
frozenset({'PSPTO_3662'}),85.93263981,optimal
frozenset({'PSPTO_3043'}),85.93263981,optimal
frozenset({'PSPTO_4915'}),85.93263981,optimal
frozenset({'PSPTO_1243'}),85.93263981,optimal
frozenset({'PSPTO_1325'}),85.93263981,optimal
frozenset({'PSTPO_0324'}),85.93263981,optimal
frozenset({'PSPTO_3752'}),85.93263981,optimal
frozenset({'PSPTO_4895'}),85.93263981,optimal
frozenset({'PSPTO_4919'}),85.93263981,optimal
frozenset({'PSPTO_5314'}),85.93263981,optimal
frozenset({'PSPTO_5339'}),85.93263981,optimal
frozenset({'PSPTO_4413'}),85.93263981,optimal
frozenset({'PSPTO_4709'}),85.93263981,optimal
frozenset({'PSPTO_5040'}),85.93263981,optimal
frozenset({'PSPTO_1294'}),85.93263981,optimal
frozenset({'PSPTO_4290'}),85.93263981,optimal
frozenset({'PSPTO_2572'}),85.93263981,optimal
frozenset({'PSPTO_1293'}),85.93263981,optimal
frozenset({'PSPTO_2198'}),85.93263981,optimal
frozenset({'PSPTO_4108'}),85.93263981,optimal
frozenset({'PSPTO_2281'}),85.93263981,optimal
frozenset({'PSPTO_4354'}),85.93263981,optimal
frozenset({'PSPTO_1832'}),85.93263981,optimal
frozenset({'PSPTO_3702'}),85.93263981,optimal
frozenset({'PSPTO_0458'}),85.93263981,optimal
frozenset({'PSPTO_1196'}),85.93263981,optimal
frozenset({'PSPTO_5393'}),85.93263981,optimal
frozenset({'PSPTO_5307'}),85.93263981,optimal
frozenset({'PSPTO_2339'}),85.93263981,optimal
frozenset({'PSPTO_5178'}),85.93263981,optimal
frozenset({'PSPTO_4683'}),85.93263981,optimal
frozenset({'PSPTO_1455'}),85.93263981,optimal
frozenset({'PSPTO_1756'}),85.93263981,optimal
frozenset({'PSPTO_3644'}),85.93263981,optimal
frozenset({'PSPTO_4235'}),85.93263981,optimal
frozenset({'PSPTO_3106'}),85.93263981,optimal
frozenset({'PSPTO_0218'}),85.93263981,optimal
frozenset({'PSPTO_1993'}),85.93263981,optimal
frozenset({'PSPTO_0460'}),85.93263981,optimal
frozenset({'PSPTO_2914'}),85.93263981,optimal
frozenset({'PSPTO_2568'}),85.93263981,optimal
frozenset({'PSPTO_3559'}),85.93263981,optimal
frozenset({'PSPTO_3374'}),85.93263981,optimal
frozenset({'PSPTO_4842'}),85.93263981,optimal
frozenset({'PSPTO_5464'}),85.93263981,optimal
frozenset({'PSPTO_0692'}),85.93263981,optimal
frozenset({'PSPTO_2194'}),85.93263981,optimal
frozenset({'PSPTO_4411'}),85.93263981,optimal
frozenset({'PSPTO_0722'}),85.93263981,optimal
frozenset({'PSPTO_3733'}),85.93263981,optimal
frozenset({'PSPTO_0886'}),85.93263981,optimal
frozenset({'PSPTO_1886'}),85.93263981,optimal
frozenset({'PSPTO_1131'}),85.93263981,optimal
frozenset({'PSPTO_5289'}),85.93263981,optimal
frozenset({'PSPTO_4026'}),85.93263981,optimal
frozenset({'PSPTO_3817'}),85.93263981,optimal
frozenset({'PSPTO_4894'}),85.93263981,optimal
frozenset({'PSPTO_4681'}),85.93263981,optimal
frozenset({'PSPTO_3706'}),85.93263981,optimal
frozenset({'PSPTO_1821'}),85.93263981,optimal
frozenset({'PSPTO_0568'}),85.93263981,optimal
frozenset({'PSPTO_4408'}),85.93263981,optimal
frozenset({'PSPTO_3375'}),85.93263981,optimal
frozenset({'PSPTO_5079'}),85.93263981,optimal
frozenset({'PSPTO_4861'}),85.93263981,optimal
frozenset({'PSPTO_1731'}),85.93263981,optimal
frozenset({'PSPTO_0498'}),85.93263981,optimal
frozenset({'PSPTO_4632'}),85.93263981,optimal
frozenset({'PSPTO_0461'}),85.93263981,optimal
frozenset({'PSPTO_5277'}),85.93263981,optimal
frozenset({'PSPTO_1523'}),85.93263981,optimal
frozenset({'PSPTO_1349'}),85.93263981,optimal
frozenset({'PSPTO_1692'}),85.93263981,optimal
frozenset({'PSPTO_0300'}),85.93263981,optimal
frozenset({'PSPTO_2913'}),85.93263981,optimal
frozenset({'PSPTO_4170'}),85.93263981,optimal
frozenset({'PSPTO_0549'}),85.93263981,optimal
frozenset({'PSPTO_5357'}),85.93263981,optimal
frozenset({'PSPTO_1890'}),85.93263981,optimal
frozenset({'PSPTO_5321'}),85.93263981,optimal
frozenset({'PSPTO_1843'}),85.93263981,optimal
frozenset({'PSPTO_3924'}),85.93263981,optimal
frozenset({'PSPTO_4116'}),85.93263981,optimal
frozenset({'PSPTO_2685'}),85.93263981,optimal
frozenset({'PSPTO_3860'}),85.93263981,optimal
frozenset({'PSPTO_4795'}),85.93263981,optimal
frozenset({'PSPTO_1846'}),85.93263981,optimal
frozenset({'PSPTO_5085'}),85.93263981,optimal
frozenset({'PSPTO_2206'}),85.93263981,optimal
frozenset({'PSPTO_0224'}),85.93263981,optimal
frozenset({'PSPTO_0239'}),85.93263981,optimal
frozenset({'PSPTO_5188'}),85.93263981,optimal
frozenset({'PSPTO_2039'}),85.93263981,optimal
frozenset({'PSPTO_2287'}),85.93263981,optimal
frozenset({'PSPTO_4254'}),85.93263981,optimal
frozenset({'PSPTO_4917'}),85.93263981,optimal
frozenset({'PSPTO_3668'}),85.93263981,optimal
frozenset({'PSPTO_5083'}),85.93263981,optimal
frozenset({'PSPTO_1356'}),85.93263981,optimal
frozenset({'PSPTO_3009'}),85.93263981,optimal
frozenset({'PSPTO_1852'}),85.93263981,optimal
frozenset({'PSPTO_2703'}),85.93263981,optimal
frozenset({'PSPTO_0233'}),85.93263981,optimal
frozenset({'PSPTO_0386'}),85.93263981,optimal
frozenset({'PSPTO_3371'}),85.93263981,optimal
frozenset({'PSPTO_5475'}),85.93263981,optimal
frozenset({'PSPTO_3369'}),85.93263981,optimal
frozenset({'PSPTO_0984'}),85.93263981,optimal
frozenset({'PSPTO_0187'}),85.93263981,optimal
frozenset({'PSPTO_1930'}),85.93263981,optimal
frozenset({'PSPTO_2215'}),85.93263981,optimal
frozenset({'PSPTO_3377'}),85.93263981,optimal
frozenset({'PSPTO_0890'}),85.93263981,optimal
frozenset({'PSPTO_1295'}),85.93263981,optimal
frozenset({'PSPTO_2705'}),85.93263981,optimal
frozenset({'PSPTO_1520'}),85.93263981,optimal
frozenset({'PSPTO_0701'}),85.93263981,optimal
frozenset({'PSPTO_2761'}),85.93263981,optimal
frozenset({'PSPTO_2788'}),85.93263981,optimal
frozenset({'PSPTO_0366'}),85.93263981,optimal
frozenset({'PSPTO_2213'}),85.93263981,optimal
frozenset({'PSPTO_1713'}),85.93263981,optimal
frozenset({'PSPTO_4825'}),85.93263981,optimal
frozenset({'PSPTO_3280'}),85.93263981,optimal
frozenset({'PSPTO_5557'}),85.93263981,optimal
frozenset({'PSPTO_2488'}),85.93263981,optimal
frozenset({'PSPTO_1444'}),85.93263981,optimal
frozenset({'PSPTO_3862'}),85.93263981,optimal
frozenset({'PSPTO_5262'}),85.93263981,optimal
frozenset({'PSPTO_2345'}),85.93263981,optimal
frozenset({'PSPTO_5006'}),85.93263981,optimal
frozenset({'PSPTO_5358'}),85.93263981,optimal
frozenset({'PSPTO_5359'}),85.93263981,optimal
frozenset({'PSPTO_0774'}),85.93263981,optimal
frozenset({'PSPTO_1891'}),85.93263981,optimal
frozenset({'PSPTO_0678'}),85.93263981,optimal
frozenset({'PSPTO_0359'}),85.93263981,optimal
frozenset({'PSPTO_0301'}),85.93263981,optimal
frozenset({'PSPTO_3705'}),85.93263981,optimal
frozenset({'PSPTO_5315'}),85.93263981,optimal
frozenset({'PSPTO_0128'}),85.93263981,optimal
frozenset({'PSPTO_1361'}),85.93263981,optimal
frozenset({'PSPTO_4937'}),85.93263981,optimal
frozenset({'PSPTO_0787'}),85.93263981,optimal
frozenset({'PSPTO_0543'}),85.93263981,optimal
frozenset({'PSPTO_2706'}),85.93263981,optimal
frozenset({'PSPTO_4406'}),85.93263981,optimal
frozenset({'PSPTO_5319'}),85.93263981,optimal
frozenset({'PSPTO_4965'}),85.93263981,optimal
frozenset({'PSPTO_4916'}),85.93263981,optimal
frozenset({'PSPTO_3840'}),85.93263981,optimal
