rxn01465_c,((PSPTO_4157 or PSPTO_5041) or PSPTO_5277),
rxn01476_c,PSPTO_1301,
rxn01479_c,PSPTO_4828,
rxn01480_c,(PSPTO_0783 or PSPTO_3517 or PSPTO_0783),
rxn01499_c,PSPTO_1508,
rxn01509_c,(PSPTO_0075 or PSPTO_0075),
rxn01513_c,PSPTO_3827,
rxn01519_c,(PSPTO_0084 or PSPTO_3141),
rxn01520_c,PSPTO_5282,
rxn01528_c,PSPTO_3506,
rxn01530_c,(PSPTO_2182 or PSPTO_2697 or PSPTO_1337 or PSPTO_2957 or PSPTO_4285),
rxn01544_c,(PSPTO_1131 or PSPTO_0112),
rxn01545_c,PSPTO_2373,
rxn01547_c,PSPTO_5153,
rxn01572_c,PSPTO_3991,
rxn01580_c,PSPTO_1892,
rxn01600_c,PSPTO_4225,
rxn01602_c,(PSPTO_1183 or PSPTO_0437),
rxn01604_c,PSPTO_3968,
rxn01607_c,PSPTO_2701,
rxn01621_c,PSPTO_1670,
rxn01630_c,(PSPTO_0517 or PSPTO_0517),
rxn01633_c,PSPTO_1005,
rxn01635_c,PSPTO_0690,
rxn01641_c,PSPTO_0178,
rxn01643_c,((PSPTO_2176 or PSPTO_4103) or (PSPTO_2176 or PSPTO_4103)),
rxn01652_c,PSPTO_1699,
rxn01653_c,PSPTO_5227,
rxn01670_c,(PSPTO_2277 or PSPTO_3043),
rxn01671_c,(PSPTO_3143 or PSPTO_0805),
rxn01673_c,PSPTO_1430,
rxn01682_c,((PSPTO_0159 and PSPTO_0158) or PSPTO_5251),
rxn01701_c,PSPTO_1169,
rxn01750_c,PSPTO_5270,
rxn01754_c,(PSPTO_4168 or PSPTO_2403),
rxn01800_c,(PSPTO_3733 or PSPTO_2453),
rxn01804_c,PSPTO_2179,
rxn01805_c,PSPTO_2179,
rxn01814_c,PSPTO_1140,
rxn01828_c,PSPTO_3772,
rxn01834_c,PSPTO_3106,
rxn01842_c,(PSPTO_2941 or PSPTO_2942),
rxn01854_c,PSPTO_5278,
rxn01858_c,PSPTO_0757,
rxn01868_c,PSPTO_0441,
rxn01872_c,PSPTO_2200,
rxn01887_c,PSPTO_2949,
rxn01904_c,PSPTO_4876,
rxn01919_c,PSPTO_2965,
rxn01948_c,PSPTO_1508,
rxn01967_c,((PSPTO_0836 or PSPTO_3590) or (PSPTO_3590 or PSPTO_0836)),
rxn01975_c,(PSPTO_1300 or PSPTO_3121),
rxn01987_c,PSPTO_2371,
rxn01996_c,(PSPTO_2261 or PSPTO_1874),
rxn02007_c,(PSPTO_3499 or PSPTO_3018),
rxn02009_c,PSPTO_5227,
rxn02015_c,(PSPTO_0338 or PSPTO_5528 or PSPTO_4945),
rxn02026_c,(PSPTO_0490 or PSPTO_4965),
rxn02045_c,PSPTO_4800,
rxn02067_c,PSPTO_2309,
rxn02090_c,(PSPTO_2668 or PSPTO_0696 or PSPTO_0692),
rxn02093_c,PSPTO_0885,
rxn02105_c,(PSPTO_1361 or PSPTO_4244),
rxn02107_c,(PSPTO_4103 or PSPTO_2176),
rxn02115_c,PSPTO_0566,
rxn02130_c,PSPTO_1838,
rxn02144_c,(PSPTO_3138 or PSPTO_4089),
rxn02159_c,(PSPTO_4438 or PSPTO_4438),
rxn02181_c,(PSPTO_3517 or PSPTO_1288),
rxn02182_c,(PSPTO_0125 or PSPTO_0200),
